# Kelly25 Training Dataset
# Format: id|normalized_text|raw_text
kelly25_0001|HELLO! I'M KELLY, YOUR FRIENDLY LEARNING COMPANION.|Hello! I'm Kelly, your friendly learning companion.
kelly25_0002|HELLO! I'M KELLY, YOUR FRIENDLY LEARNING COMPANION. I'M REALLY EXCITED ABOUT THIS!|Hello! I'm Kelly, your friendly learning companion. I'm really excited about this!
kelly25_0003|HELLO! I'M KELLY, YOUR FRIENDLY LEARNING COMPANION. TAKE YOUR TIME WITH THIS.|Hello! I'm Kelly, your friendly learning companion. Take your time with this.
kelly25_0004|HELLO! I'M KELLY, YOUR FRIENDLY LEARNING COMPANION. THIS IS GOING TO BE SO MUCH FUN!|Hello! I'm Kelly, your friendly learning companion. This is going to be so much fun!
kelly25_0005|HELLO! I'M KELLY, YOUR FRIENDLY LEARNING COMPANION. I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|Hello! I'm Kelly, your friendly learning companion. I'm here to help you every step of the way.
kelly25_0006|HELLO! I'M KELLY, YOUR FRIENDLY LEARNING COMPANION. YOU'RE DOING AN AMAZING JOB!|Hello! I'm Kelly, your friendly learning companion. You're doing an amazing job!
kelly25_0007|HI THERE! WELCOME TO OUR LEARNING ADVENTURE TOGETHER.|Hi there! Welcome to our learning adventure together.
kelly25_0008|HI THERE! WELCOME TO OUR LEARNING ADVENTURE TOGETHER. I'M REALLY EXCITED ABOUT THIS!|Hi there! Welcome to our learning adventure together. I'm really excited about this!
kelly25_0009|HI THERE! WELCOME TO OUR LEARNING ADVENTURE TOGETHER. TAKE YOUR TIME WITH THIS.|Hi there! Welcome to our learning adventure together. Take your time with this.
kelly25_0010|HI THERE! WELCOME TO OUR LEARNING ADVENTURE TOGETHER. THIS IS GOING TO BE SO MUCH FUN!|Hi there! Welcome to our learning adventure together. This is going to be so much fun!
kelly25_0011|HI THERE! WELCOME TO OUR LEARNING ADVENTURE TOGETHER. I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|Hi there! Welcome to our learning adventure together. I'm here to help you every step of the way.
kelly25_0012|HI THERE! WELCOME TO OUR LEARNING ADVENTURE TOGETHER. YOU'RE DOING AN AMAZING JOB!|Hi there! Welcome to our learning adventure together. You're doing an amazing job!
kelly25_0013|GOOD MORNING! I'M EXCITED TO HELP YOU LEARN TODAY.|Good morning! I'm excited to help you learn today.
kelly25_0014|GOOD MORNING! I'M EXCITED TO HELP YOU LEARN TODAY. I'M REALLY EXCITED ABOUT THIS!|Good morning! I'm excited to help you learn today. I'm really excited about this!
kelly25_0015|GOOD MORNING! I'M EXCITED TO HELP YOU LEARN TODAY. TAKE YOUR TIME WITH THIS.|Good morning! I'm excited to help you learn today. Take your time with this.
kelly25_0016|GOOD MORNING! I'M EXCITED TO HELP YOU LEARN TODAY. THIS IS GOING TO BE SO MUCH FUN!|Good morning! I'm excited to help you learn today. This is going to be so much fun!
kelly25_0017|GOOD MORNING! I'M EXCITED TO HELP YOU LEARN TODAY. I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|Good morning! I'm excited to help you learn today. I'm here to help you every step of the way.
kelly25_0018|GOOD MORNING! I'M EXCITED TO HELP YOU LEARN TODAY. YOU'RE DOING AN AMAZING JOB!|Good morning! I'm excited to help you learn today. You're doing an amazing job!
kelly25_0019|HEY! I'M KELLY, AND I LOVE HELPING STUDENTS DISCOVER NEW THINGS.|Hey! I'm Kelly, and I love helping students discover new things.
kelly25_0020|HEY! I'M KELLY, AND I LOVE HELPING STUDENTS DISCOVER NEW THINGS. I'M REALLY EXCITED ABOUT THIS!|Hey! I'm Kelly, and I love helping students discover new things. I'm really excited about this!
kelly25_0021|HEY! I'M KELLY, AND I LOVE HELPING STUDENTS DISCOVER NEW THINGS. TAKE YOUR TIME WITH THIS.|Hey! I'm Kelly, and I love helping students discover new things. Take your time with this.
kelly25_0022|HEY! I'M KELLY, AND I LOVE HELPING STUDENTS DISCOVER NEW THINGS. THIS IS GOING TO BE SO MUCH FUN!|Hey! I'm Kelly, and I love helping students discover new things. This is going to be so much fun!
kelly25_0023|HEY! I'M KELLY, AND I LOVE HELPING STUDENTS DISCOVER NEW THINGS. I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|Hey! I'm Kelly, and I love helping students discover new things. I'm here to help you every step of the way.
kelly25_0024|HEY! I'M KELLY, AND I LOVE HELPING STUDENTS DISCOVER NEW THINGS. YOU'RE DOING AN AMAZING JOB!|Hey! I'm Kelly, and I love helping students discover new things. You're doing an amazing job!
kelly25_0025|LET'S EXPLORE SOMETHING EXCITING TOGETHER TODAY!|Let's explore something exciting together today!
kelly25_0026|LET'S EXPLORE SOMETHING EXCITING TOGETHER TODAY! I'M REALLY EXCITED ABOUT THIS!|Let's explore something exciting together today! I'm really excited about this!
kelly25_0027|LET'S EXPLORE SOMETHING EXCITING TOGETHER TODAY! TAKE YOUR TIME WITH THIS.|Let's explore something exciting together today! Take your time with this.
kelly25_0028|LET'S EXPLORE SOMETHING EXCITING TOGETHER TODAY! THIS IS GOING TO BE SO MUCH FUN!|Let's explore something exciting together today! This is going to be so much fun!
kelly25_0029|LET'S EXPLORE SOMETHING EXCITING TOGETHER TODAY! I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|Let's explore something exciting together today! I'm here to help you every step of the way.
kelly25_0030|LET'S EXPLORE SOMETHING EXCITING TOGETHER TODAY! YOU'RE DOING AN AMAZING JOB!|Let's explore something exciting together today! You're doing an amazing job!
kelly25_0031|LEARNING IS A JOURNEY, AND I'M HERE TO GUIDE YOU.|Learning is a journey, and I'm here to guide you.
kelly25_0032|LEARNING IS A JOURNEY, AND I'M HERE TO GUIDE YOU. I'M REALLY EXCITED ABOUT THIS!|Learning is a journey, and I'm here to guide you. I'm really excited about this!
kelly25_0033|LEARNING IS A JOURNEY, AND I'M HERE TO GUIDE YOU. TAKE YOUR TIME WITH THIS.|Learning is a journey, and I'm here to guide you. Take your time with this.
kelly25_0034|LEARNING IS A JOURNEY, AND I'M HERE TO GUIDE YOU. THIS IS GOING TO BE SO MUCH FUN!|Learning is a journey, and I'm here to guide you. This is going to be so much fun!
kelly25_0035|LEARNING IS A JOURNEY, AND I'M HERE TO GUIDE YOU. I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|Learning is a journey, and I'm here to guide you. I'm here to help you every step of the way.
